"filename", "language", "Python", "TXT", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\esanchezb\Documents\Project_cafe_v2\README.md", "Markdown", 0, 0, 419, 0, 0, 2, 421
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\output\transcriptions\1020744959_OCTUBRE-17-10-24-PI_GERPROY_CONST_ONLINE_2024_II_LIMA_-_Curso_Gestión_de_la_Calidad_en_Proyectos_de_Co-16-10-24_transcription.txt", "TXT", 0, 1, 0, 0, 0, 0, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\output\transcriptions\1020745600_OCTUBRE-17-10-24-AUTODESK_BIM_ONLINE_2024_I_CDMEXICO_-_MS_Project_para_la_gestión_de_Proyectos_BIM_ON-16-10-24_transcription.txt", "TXT", 0, 1, 0, 0, 0, 0, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\output\transcriptions\summary_2.txt", "TXT", 0, 43, 0, 0, 11, 10, 64
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\output\transcriptions\transcription.txt", "TXT", 0, 1, 0, 0, 0, 0, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\temp\podcast.txt", "TXT", 0, 10, 0, 0, 0, 9, 19
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\temp\summaries\transcription_summary.txt", "TXT", 0, 45, 0, 0, 17, 15, 77
"c:\Users\esanchezb\Documents\Project_cafe_v2\data\temp\transcriptions\transcription.txt", "TXT", 0, 1, 0, 0, 0, 0, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\requirements.txt", "pip requirements", 0, 0, 0, 179, 0, 0, 179
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\api.py", "Python", 147, 0, 0, 0, 20, 34, 201
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\audio_extraction\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\audio_extraction\extract_audio.py", "Python", 17, 0, 0, 0, 4, 7, 28
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\download_video\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\download_video\download_video.py", "Python", 78, 0, 0, 0, 13, 15, 106
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\main.py", "Python", 61, 0, 0, 0, 13, 24, 98
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\main_test.py", "Python", 9, 0, 0, 0, 3, 3, 15
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\summarization\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\summarization\summarization.py", "Python", 96, 0, 0, 0, 4, 19, 119
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_audio\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_audio\text_to_audio.py", "Python", 84, 0, 0, 0, 11, 24, 119
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_concept_map\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_concept_map\debug_mermaid.txt", "TXT", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_concept_map\text_to_concept_map.py", "Python", 92, 0, 0, 0, 11, 25, 128
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_pdf\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\text_to_pdf\text_to_pdf.py", "Python", 96, 0, 0, 0, 18, 29, 143
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\transcription\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\src\transcription\transcribe_audio.py", "Python", 57, 0, 0, 0, 0, 16, 73
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\conftest.py", "Python", 4, 0, 0, 0, 1, 1, 6
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\test_audio_extraction.py", "Python", 15, 0, 0, 0, 2, 7, 24
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\test_summarization.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\test_text_to_pdf.py", "Python", 92, 0, 0, 0, 17, 25, 134
"c:\Users\esanchezb\Documents\Project_cafe_v2\tests\test_transcription.py", "Python", 97, 0, 0, 0, 20, 23, 140
"Total", "-", 945, 102, 419, 179, 165, 298, 2108
